code	name	license	status_name	city
LS	RELIANCE SEKURITAS INDONESIA TBK.	Penjamin Emisi Efek	Aktif	
MG	SEMESTA INDOVEST SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Barat
MI	VICTORIA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
MK	EKUATOR SWARNA SEKURITAS	Penjamin Emisi Efek	Aktif	Jakarta Selatan
MS	MORGAN STANLEY SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
MU	MINNA PADI INVESTAMA SEKURITAS TBK	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
NI	BNI SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
OD	BRI DANAREKSA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
OK	NET SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
PC	FAC SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	Jakarta Pusat
PD	INDO PREMIER SEKURITAS	Manajer Investasi, Penjamin Emisi Efek	Aktif	Jakarta
PF	DANASAKTI SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
PG	PANCA GLOBAL SEKURITAS	Penjamin Emisi Efek	Aktif	Jakarta
PO	PILARMAS INVESTINDO SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta
PP	ALDIRACITA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
PS	PARAMITRA ALFA SEKURITAS	Manajer Investasi, Perantara Pedagang Efek	Aktif	Jakarta
RB	NIKKO SEKURITAS INDONESIA	Manajer Investasi, Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
RF	BUANA CAPITAL SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
RG	PROFINDO SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
RO	NILAI INTI SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
RS	YULIE SEKURITAS INDONESIA TBK.	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
RX	MACQUARIE SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
SA	BOSOWA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
SC	IMG SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta Pusat
SF	SURYA FAJAR SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
SH	ARTHA SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Utara
SQ	BCA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta
SS	SUPRA SEKURITAS INDONESIA	Perantara Pedagang Efek	Aktif	Jakarta
TF	UNIVERSAL BROKER INDONESIA SEKURITAS	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Pusat
TP	OCBC SEKURITAS INDONESIA	Penjamin Emisi Efek, Perantara Pedagang Efek	Aktif	Jakarta Selatan
TS	DWIDANA SAKTI SEKURITAS	Perantara Pedagang Efek	Aktif	Jakarta Barat
