Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-JUN-2022|AALI|EQUITY|1924688333|9800|71483871|13952024|8482087|49700|87547449|23197867|865494|3807521|4788127|214174140|4674473|17048657|32272535|16583419|825952|53904996|31824634|848447|18632340|176615453
30-JUN-2022|ABBA|EQUITY|3935892857|232|121898900|2458430064|5318900|0|835597095|0|48000306|0|0|3469245265|0|20400|0|1107486|7281185|0|1900|0|0|8410971
30-JUN-2022|ABDA|EQUITY|620806680|5900|21885|259853|0|98|836822|0|30506900|733484|0|32359042|154273041|386929293|0|46203500|3900|0|0|0|62|587409796
30-JUN-2022|ABMM|EQUITY|2753165000|2230|1773000|1479639533|0|0|330496700|650400|527183|0|60000|1813146816|0|734714867|6212469|20943574|783400|13118927|2794368|2590980|158859599|940018184
30-JUN-2022|ACES|EQUITY|17150000000|770|140666222|168243400|64319511|0|972280391|308941432|4241686|9403600|746900|1668843142|17947200|360921247|1139486846|593110041|18863400|1731550146|209329802|917900|1124030276|5196156858
30-JUN-2022|ACST|EQUITY|12675160000|161|0|11198238035|200000|0|1428808297|29350000|401154|0|20000|12657017486|0|250220|0|9332444|3557135|0|4986695|0|16020|18142514
30-JUN-2022|ADCP|EQUITY|22222222200|78|0|471532100|3849100|0|1518754300|911000|1558700|100|220732300|2217337600|0|0|0|1117500|3767100|0|0|0|0|4884600
30-JUN-2022|ADES|EQUITY|589896800|6675|0|849200|58500|350|39642477|16900|411|0|0|40567838|0|540384813|113600|7122124|109000|57300|193000|0|326697|548306534
30-JUN-2022|ADHI|EQUITY|3560849376|770|72293037|85060077|97279784|3000000|1106572248|160555262|26934178|29987451|245000|1581927037|0|10413338|44541298|18770503|3788471|42802743|38183843|0|4365519|162865715
30-JUN-2022|ADMF|EQUITY|1000000000|8025|4366800|608900|0|920700000|40303900|9439900|117546|0|0|975537046|22100|471431|668639|13398372|473100|968966|4162831|103000|4094515|24362954
30-JUN-2022|ADMG|EQUITY|3889179559|174|1030000|994150100|2493900|0|503923887|83|450027|0|0|1502047997|0|1662500|0|3562747|2897700|0|4323796|0|43|12446786
30-JUN-2022|ADMR|EQUITY|40882331500|1580|647180000|34793615720|86259000|0|1323952400|633384131|490227|8055000|0|37492936478|16170100|1964158684|150534545|441950573|58669500|303358165|20723500|2739900|431090055|3389395022
30-JUN-2022|ADRO|EQUITY|31985962000|2860|1256420719|16811456880|106758700|1204000|6230669841|1347751904|116747589|39456500|1900200|25912366333|62668961|947104384|968466089|637763863|18826172|1468850437|362384559|71998800|1535532402|6073595667
30-JUN-2022|AGAR|EQUITY|1000000000|320|0|798887300|0|0|201090300|0|0|0|0|999977600|0|200|0|0|22200|0|0|0|0|22400
30-JUN-2022|AGII|EQUITY|3066660000|2150|5218900|1592017826|9729500|0|271833491|69852000|94960|986400|0|1949733077|5145300|677600|0|53460240|15868500|3804600|7310500|0|126108000|212374740
30-JUN-2022|AGRO|EQUITY|22746745082|705|33885505|43622904|926637770|19429762386|1266947642|57798322|107970|367300|937871|21760067670|0|22980336|35118216|84556687|1094554|539806204|65806911|0|158243039|907605947
30-JUN-2022|AGRS|EQUITY|17666492048|120|0|225372191|0|20158930|1137144743|0|146|0|0|1382676010|0|595072|0|1975200|7765551|0|4699920|0|6136453340|6151489083
30-JUN-2022|AHAP|EQUITY|2940000000|56|1827142432|173438781|0|0|605171516|0|79115|0|0|2605831844|147816500|0|0|0|178794702|0|3216041|0|55|329827298
30-JUN-2022|AIMS|EQUITY|220000000|252|0|180441890|0|0|39377210|0|18000|0|0|219837100|0|0|0|100|2000|0|10800|0|0|12900
30-JUN-2022|AISA|EQUITY|9311800000|148|169620583|6927571658|4189400|0|1678481289|7112000|540425|100000|8794615|8796409970|250000|322040453|2486500|67260867|7196700|34848022|70315655|0|10364333|514762530
30-JUN-2022|AKKU|EQUITY|6449463636|50|0|4788680000|0|0|1358232336|0|7665000|6700|0|6154584036|0|196254300|0|0|1050200|0|2040100|0|95535000|294879600
30-JUN-2022|AKPI|EQUITY|612248000|1490|4000|145574873|0|2|28439871|17500|2122|0|0|174038368|0|8600|34|1|23103|0|152500|0|10300|194538
30-JUN-2022|AKRA|EQUITY|20073474600|1030|284383400|2690634400|163456100|5000000|753505860|819790684|41994568|23626600|1556500|4783948112|29442460|572901742|897348101|655380495|32051000|1910400784|237335252|37428900|1205608654|5577897388
30-JUN-2022|AKSI|EQUITY|720000000|288|0|6543144|0|0|50985056|0|0|0|0|57528200|0|0|0|0|10000|0|300|0|0|10300
30-JUN-2022|ALDO|EQUITY|1316856020|850|0|922316366|0|0|392610491|1800000|41|0|0|1316726898|0|0|0|69566|59500|0|0|0|56|129122
30-JUN-2022|ALKA|EQUITY|507665055|300|0|11021250|0|77500|24067505|0|46200|0|0|35212455|0|0|0|260000|2645423|0|3700|0|0|2909123
30-JUN-2022|ALMI|EQUITY|3816000000|298|0|96601840|0|0|49127400|0|303000|0|0|146032240|0|17100|0|32905600|366000|0|182800|0|0|33471500
30-JUN-2022|ALTO|EQUITY|2191870558|199|0|1351395116|0|0|484917724|11227200|335044918|0|0|2182584958|0|50000|0|7560100|36600|0|1387400|0|0|9034100
30-JUN-2022|AMAG|EQUITY|5001552516|428|15368100|48500|210019533|388000000|71406096|0|23887500|0|0|708729729|0|5558800|0|5305300|7757900|2066800|68895900|0|13695000|103279700
30-JUN-2022|AMAN|EQUITY|3873500000|505|0|0|0|0|584999700|0|0|0|0|584999700|0|0|0|0|100|0|200|0|0|300
30-JUN-2022|AMAR|EQUITY|13820372000|302|0|6137372|0|0|817847125|6800|200092|0|54200|824245589|0|2557548927|0|9787851496|1010620|941000|393906368|0|618000|12741876411
30-JUN-2022|AMFG|EQUITY|434000000|5925|23500|12991482|94500|0|37918400|72000|53076|0|0|51152958|19000|21702800|80000|1688500|23000|885200|8944559|76900|203083|33623042
30-JUN-2022|AMIN|EQUITY|1080000000|131|0|16400000|0|0|135617700|0|0|0|0|152017700|0|17438300|0|0|68615500|0|192800|0|1735700|87982300
30-JUN-2022|AMOR|EQUITY|2222222400|1350|39072500|346429900|0|0|427923300|360000|4125200|0|0|817910900|10730454|151200|198200|51456400|1015600|3934400|1846100|0|859146|70191500
