Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-JAN-2022|AALI|EQUITY|1924688333|9900|88378271|15415145|13569998|49700|112448683|31738850|1278471|4138321|5078427|272095866|2356073|8716936|12240314|18338820|1368197|38014142|27063174|886123|9709948|118693727
31-JAN-2022|ABBA|EQUITY|2755125000|312|45467200|1705654365|1390500|0|494671071|0|35000243|0|0|2282183379|0|20400|0|10987300|3695400|0|1900|0|0|14705000
31-JAN-2022|ABDA|EQUITY|620806680|7650|21885|47541082|0|98|47920672|0|7500|737084|0|96228321|0|426136555|0|97403500|400|0|0|0|62|523540517
31-JAN-2022|ABMM|EQUITY|2753165000|1410|1777000|1480877833|1600|0|355989500|2368100|1044800|0|0|1842058833|0|734330867|976460|9019000|502300|11051400|390588|574680|154260872|911106167
31-JAN-2022|ACES|EQUITY|17150000000|1235|337896822|111702800|29501511|0|303330691|330144376|18269638|7532100|739300|1139117238|18613700|440216447|1228935421|413304175|717100|2135485145|173713355|917900|1313979519|5725882762
31-JAN-2022|ACST|EQUITY|12675160000|188|0|11199078635|11525238|0|1409765297|29350000|1116|0|0|12649720286|0|150220|0|10439644|5345535|0|4966695|0|4537620|25439714
31-JAN-2022|ADES|EQUITY|589896800|3430|0|1137700|58500|350|39467777|40000|411|25000|0|40729738|0|540501713|55200|6974324|116300|0|250000|0|247097|548144634
31-JAN-2022|ADHI|EQUITY|3560849376|830|136000637|69917966|120326484|3000000|1067275492|124732362|34659545|35017651|245000|1591175137|0|10186038|44080098|13693003|3531171|41142643|36619143|0|4365519|153617615
31-JAN-2022|ADMF|EQUITY|1000000000|7600|4366800|1134700|0|920700000|39306600|10926200|46|0|0|976434346|0|294531|320065|13098946|476800|995966|4224831|28500|4026015|23465654
31-JAN-2022|ADMG|EQUITY|3889179559|172|1030000|994202100|2495200|0|503875387|83|450027|0|0|1502052797|0|1662500|0|3562747|2891900|0|4324796|0|43|12441986
31-JAN-2022|ADMR|EQUITY|40882331500|1270|414370300|781461520|61863200|0|2160420400|623041000|4000000|2197600|0|4047354020|0|2265872880|0|101514700|173673800|9309200|20000|0|9336900|2559727480
31-JAN-2022|ADRO|EQUITY|31985962000|2240|1024513119|16665458145|124668800|0|6435357361|1898920604|102876065|44422100|1007200|26297223394|64623261|912582250|789628370|773934762|179737972|1476997501|335085141|68229700|1087919649|5688738606
31-JAN-2022|AGAR|EQUITY|1000000000|356|0|798877800|0|0|201032400|0|0|0|0|999910200|0|200|0|0|89600|0|0|0|0|89800
31-JAN-2022|AGII|EQUITY|3066660000|1425|6959200|1561598657|75100|0|392453200|65792200|1004160|0|0|2027882517|0|700|0|85408900|317900|0|4197800|0|44300000|134225300
31-JAN-2022|AGRO|EQUITY|22746526712|1275|74435769|18104282|935228240|19429762386|1026632012|227334328|1621769|151300|882871|21714152957|0|22787036|31498416|82493936|1834884|559212082|67662202|0|187742034|953230590
31-JAN-2022|AGRS|EQUITY|17666492048|157|0|223516891|0|20158930|1142908843|0|146|0|0|1386584810|0|696672|0|1000700|4832851|0|4596720|0|6136453340|6147580283
31-JAN-2022|AHAP|EQUITY|2940000000|68|1827142432|199959881|0|0|580084216|0|79115|0|0|2607265644|147816500|0|0|0|180473602|0|103341|0|55|328393498
31-JAN-2022|AIMS|EQUITY|220000000|370|0|180441890|0|0|39377210|0|18000|0|0|219837100|0|0|0|100|2000|0|10800|0|0|12900
31-JAN-2022|AISA|EQUITY|9311800000|175|169620583|6117719003|3669000|0|1669251289|7688900|540425|100000|8796615|7977385815|250000|914915185|2486500|69421867|7787900|41580022|69131055|0|228214156|1333786685
31-JAN-2022|AKKU|EQUITY|6449463636|50|0|4788680000|0|0|1354414436|0|11482900|6700|0|6154584036|0|196254300|0|0|1050200|0|2040100|0|95535000|294879600
31-JAN-2022|AKPI|EQUITY|612248000|1090|4000|145574873|0|2|28419471|17500|2122|0|0|174017968|0|8600|34|1|53503|0|142500|0|10300|214938
31-JAN-2022|AKRA|EQUITY|20073474600|730|334254300|2690605800|80172100|5000000|925177210|825891689|42393443|15120500|2463000|4921078042|35347760|672640125|1120236815|570742695|34563900|1794655640|230101590|51027000|931451933|5440767458
31-JAN-2022|AKSI|EQUITY|720000000|615|0|3755444|0|0|53782756|0|0|0|0|57538200|0|0|0|0|0|0|300|0|0|300
31-JAN-2022|ALDO|EQUITY|1316856020|1310|484600|923337566|0|0|383265747|200000|41|0|0|1307287954|0|0|0|9519566|500|0|0|0|48000|9568066
31-JAN-2022|ALKA|EQUITY|507665055|288|0|11021250|0|77500|24071005|0|46200|0|0|35215955|0|0|0|260000|2641923|0|3700|0|0|2905623
31-JAN-2022|ALMI|EQUITY|3816000000|288|0|96601840|0|0|49132200|0|303000|0|0|146037040|0|17100|0|32904800|366000|0|177800|0|0|33465700
31-JAN-2022|ALTO|EQUITY|2191870558|268|0|1350594416|0|0|483776924|11227200|337158418|0|0|2182756958|0|50000|0|7560000|36000|0|1216100|0|0|8862100
31-JAN-2022|AMAG|EQUITY|5001552516|366|15194500|48500|185066933|388000000|71246496|0|23887500|0|0|683443929|0|30531400|0|5298600|7757900|2066800|69225800|0|13685000|128565500
31-JAN-2022|AMAN|EQUITY|3873500000|525|0|0|0|0|584971200|0|0|0|0|584971200|0|0|0|28600|0|0|200|0|0|28800
31-JAN-2022|AMAR|EQUITY|8035100000|520|0|6344200|0|0|452419164|12600|0|0|530000|459305964|0|65000|0|6769524500|352300|0|667351236|0|0|7437293036
31-JAN-2022|AMFG|EQUITY|434000000|4300|23500|14245482|94500|0|35991500|127600|67076|0|0|50549658|0|21854000|19700|1020100|25700|2199100|8862659|0|241083|34222342
31-JAN-2022|AMIN|EQUITY|1080000000|196|0|18296000|0|0|102144300|0|31593100|0|0|152033400|0|17438300|0|0|68599800|0|192800|0|1735700|87966600
31-JAN-2022|AMOR|EQUITY|2222222400|1750|39956400|346444000|0|0|436104000|393500|3960200|0|0|826858100|0|149400|198200|53577854|1014800|3934400|1510500|0|859146|61244300
31-JAN-2022|AMRT|EQUITY|41524501700|1165|632777800|24178596961|97929300|0|2689552820|726115243|217186|12407200|8265500|28345862010|37875123|2660948351|343217000|2000088240|2015700|2323974017|2602188866|137819200|3070513193|13178639690
31-JAN-2022|ANDI|EQUITY|9350000000|50|25543605|767396380|1017800|0|2135116441|1500207217|266804208|2592000|105600|4698783251|0|9900|0|5000|1159949|0|11900|0|0|1186749
