Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2021|AALI|EQUITY|1924688333|10025|125508214|10757445|19262922|49700|88693913|41773585|1204730|2070098|4971227|294291834|1403910|3924439|9620838|14060265|996064|31604207|27253329|192522|7442085|96497659
31-MAR-2021|ABBA|EQUITY|2755125000|174|0|1689806065|0|0|591353523|0|151243|0|0|2281310831|0|20400|0|15047500|377500|0|132100|0|0|15577500
31-MAR-2021|ABDA|EQUITY|620806680|7050|21885|47535682|0|98|47922172|0|7500|739884|0|96227221|0|426136555|0|97403500|500|0|0|0|62|523540617
31-MAR-2021|ABMM|EQUITY|2753165000|775|2677000|6967200|1600|0|50617600|4703500|269800|0|0|65236700|0|57405300|0|34985500|406600|295799000|0|0|151862900|540459300
31-MAR-2021|ACES|EQUITY|17150000000|1525|387851527|97920000|20681745|0|262619211|314008113|351602|208000|253100|1083893298|9395500|690251029|1252478406|524733148|333400|2191371850|195488525|4720799|912334045|5781106702
31-MAR-2021|ACST|EQUITY|6425160000|306|0|4943011235|23124338|0|1185190097|67700000|1168|0|0|6219026838|0|122148920|0|25988004|5537935|1505800|7863043|0|43089460|206133162
31-MAR-2021|ADES|EQUITY|589896800|1670|62000|119200|58500|350|32408577|339600|411|25000|0|33013638|0|540501713|0|14954021|155000|0|250000|0|0|555860734
31-MAR-2021|ADHI|EQUITY|3560849376|1095|166888637|27475666|138478592|0|837892985|309655874|4584482|21583351|465700|1507025287|0|9930988|48079744|20797433|4077771|42961297|36426946|793800|74699486|237767465
31-MAR-2021|ADMF|EQUITY|1000000000|8325|4366800|682500|0|920700000|36260100|15673600|70|0|0|977683070|0|322431|292796|10536222|473400|2105566|4251100|0|4235415|22216930
31-MAR-2021|ADMG|EQUITY|3889179559|163|1030000|994280100|2757200|0|479449087|83|450027|0|0|1477966497|0|1644600|0|23562747|2579000|0|8741896|0|43|36528286
31-MAR-2021|ADRO|EQUITY|31985962000|1175|1817507500|15715898370|185691200|0|7584607502|1306928441|11347808|50512900|1679810|26674173531|63697335|966612895|688339976|615628407|19843572|1374738247|338775274|39928600|1204224163|5311788469
31-MAR-2021|AGAR|EQUITY|1000000000|380|0|793085400|0|0|206892200|0|0|0|0|999977600|0|200|0|0|22200|0|0|0|0|22400
31-MAR-2021|AGII|EQUITY|3066660000|1145|177800|1378425457|0|0|429383500|2000000|14860|0|200000|1810201617|0|14200|0|91681800|735400|0|102262800|0|28900000|223594200
31-MAR-2021|AGRO|EQUITY|21343290230|1020|91226800|16974444|1053579803|18526789176|1215278858|174059098|151036|87493084|815071|21166367370|0|1104934|0|7926236|2913612|234900|2391240|0|86156572|100727494
31-MAR-2021|AGRS|EQUITY|11226007038|402|0|57815203|0|20158930|48424173|1174500|0|0|834781|128407587|0|150195462|0|0|1665391|0|27200|0|6828064340|6979952393
31-MAR-2021|AHAP|EQUITY|2940000000|78|1827142432|203144081|0|0|506432918|0|4050|0|0|2536723481|147816500|0|0|70443921|180571844|0|103341|0|55|398935661
31-MAR-2021|AIMS|EQUITY|220000000|202|0|170441890|0|0|49387510|0|18100|0|0|219847500|0|0|0|100|2000|0|400|0|0|2500
31-MAR-2021|AISA|EQUITY|9311800000|274|770100|6298737286|6864500|0|1610176889|9688900|7037982|100000|8806615|7942182272|250000|913744285|2641700|67601150|6549100|73127022|75841855|0|229234616|1368989728
31-MAR-2021|AKKU|EQUITY|6449463636|50|0|4788680000|0|0|1354418036|0|84017900|3100|0|6227119036|0|196254300|0|0|1050200|0|2040100|0|23000000|222344600
31-MAR-2021|AKPI|EQUITY|680000000|432|4000|213183673|0|2|28301171|17500|2122|0|0|241508468|0|0|34|249701|118903|0|97500|0|10300|476438
