Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-JUN-2021|AALI|EQUITY|1924688333|7600|107865314|12747545|18893992|49700|114900513|35215047|1057079|2351798|4984327|298065315|1403910|3918616|7241438|14245598|1693364|30865162|26805498|208822|6341870|92724278
30-JUN-2021|ABBA|EQUITY|2755125000|238|46389400|1697351465|0|0|495213447|26224400|151243|0|0|2265329955|0|20400|0|31534300|1800|0|1900|0|0|31558400
30-JUN-2021|ABDA|EQUITY|620806680|7050|21885|47540882|0|98|47917072|0|7500|739884|0|96227321|0|426136555|0|97403500|400|0|0|0|62|523540517
30-JUN-2021|ABMM|EQUITY|2753165000|800|2677000|6965900|1600|0|51243100|4577800|269800|0|0|65735200|0|57405300|0|7613800|406600|10351700|0|0|464183400|539960800
30-JUN-2021|ACES|EQUITY|17150000000|1250|312363222|102168400|18162945|0|300555511|254723840|724344|293800|258700|989250762|21239800|718328729|1190925177|492986533|3259300|2339235667|206509712|4720799|898543521|5875749238
30-JUN-2021|ACST|EQUITY|6425160000|208|0|4945885635|11525238|0|1229614897|33050000|1068|10000|0|6220086838|0|122148920|0|25895804|6050935|0|7888043|0|43089460|205073162
30-JUN-2021|ADES|EQUITY|589896800|1950|62000|165700|58500|350|32321177|0|411|25000|0|32633138|0|540501713|0|15297464|192000|0|250000|0|57|556241234
30-JUN-2021|ADHI|EQUITY|3560849376|755|167333537|32538066|137583084|0|901508089|302428974|6362609|21209551|566200|1569530110|0|9907465|44049844|38671379|3312871|35247697|36435946|0|7637440|175262642
30-JUN-2021|ADMF|EQUITY|1000000000|8175|4366800|1066900|0|920700000|37737200|15500700|461|0|0|979372061|0|321131|272596|10202631|473800|794266|4236900|28500|4198115|20527939
30-JUN-2021|ADMG|EQUITY|3889179559|179|1030000|994646700|2757200|0|477681987|83|450027|0|0|1476565997|0|1644800|0|25000147|2591900|0|8691896|0|43|37928786
30-JUN-2021|ADRO|EQUITY|31985962000|1205|1777667819|15733586670|184836000|0|7165829002|1492720926|101409981|54044700|980910|26511076008|65609261|957812989|693328871|660958513|21784272|1420835953|329885724|41681500|1282988909|5474885992
30-JUN-2021|AGAR|EQUITY|1000000000|398|0|799057800|0|0|200919800|0|0|0|0|999977600|0|200|0|0|22200|0|0|0|0|22400
30-JUN-2021|AGII|EQUITY|3066660000|1335|141800|1389896157|0|0|405028500|12531400|56160|0|0|1807654017|0|700|0|88608400|693600|376800|102262300|0|34200000|226141800
30-JUN-2021|AGRO|EQUITY|21592666681|1945|233072900|9264744|1045055303|18526751676|871433809|466725398|256736|75603084|3815071|21231978721|0|8512334|0|85443036|4122512|15677300|6676040|0|164066472|284497694
30-JUN-2021|AGRS|EQUITY|17269602887|220|0|221594610|0|20158930|196583692|0|516896|0|469881|439324009|0|599072|0|0|1578991|0|36520|0|6828064340|6830278923
30-JUN-2021|AHAP|EQUITY|2940000000|63|1827142432|203144081|0|0|506537360|0|4050|0|0|2536827923|147816500|0|0|70439721|180471602|0|103341|0|55|398831219
30-JUN-2021|AIMS|EQUITY|220000000|358|0|180441890|0|0|39387610|0|18000|0|0|219847500|0|0|0|100|2000|0|400|0|0|2500
30-JUN-2021|AISA|EQUITY|9311800000|194|770100|6294404086|6864500|0|1620185889|13188900|37982|102000|8804615|7944358072|250000|914030985|2641700|79207167|6921900|63997522|70862955|0|228901699|1366813928
30-JUN-2021|AKKU|EQUITY|6449463636|50|0|4788680000|0|0|1354414436|0|84017900|6700|0|6227119036|0|196254300|0|0|1050200|0|2040100|0|23000000|222344600
30-JUN-2021|AKPI|EQUITY|680000000|585|4000|145431673|0|2|28607871|17500|2122|0|0|174063168|0|0|34|1|61903|0|97500|0|10300|169738
30-JUN-2021|AKRA|EQUITY|4014694920|3150|90963502|540447000|28874400|0|207495611|258902522|11659442|879800|956100|1140178377|1481372|41682785|201910826|80830454|8776400|338996161|47769550|887500|209855675|932190723
30-JUN-2021|AKSI|EQUITY|720000000|486|0|3755444|0|0|53782756|0|0|0|0|57538200|0|0|0|0|0|0|300|0|0|300
30-JUN-2021|ALDO|EQUITY|1100000000|690|0|871617769|0|0|223586631|0|100|0|0|1095204500|0|0|0|4052000|237500|0|0|0|506000|4795500
30-JUN-2021|ALKA|EQUITY|507665055|246|0|11021250|0|77500|23802405|0|46200|0|0|34947355|0|0|0|260000|2895523|0|3700|0|0|3159223
30-JUN-2021|ALMI|EQUITY|616000000|240|0|96601840|0|0|49092100|0|303000|0|0|145996940|0|17000|0|32942200|368800|0|177800|0|0|33505800
30-JUN-2021|ALTO|EQUITY|2191870558|370|0|1436808522|0|0|395030118|12688300|338336918|0|0|2182863858|0|50000|0|7560000|36000|0|1109200|0|0|8755200
30-JUN-2021|AMAG|EQUITY|5001552516|332|0|1968000|185066933|388000000|65638596|0|23887500|0|0|664561029|0|38136100|0|4438300|7785200|2066800|69225800|0|25796200|147448400
30-JUN-2021|AMAN|EQUITY|3873500000|336|0|0|0|0|584999600|0|200|0|0|584999800|0|0|0|0|0|0|200|0|0|200
30-JUN-2021|AMAR|EQUITY|8035100000|246|0|6067500|0|0|234581200|0|0|0|0|240648700|0|0|0|6738500500|452800|0|975147000|0|0|7714100300
30-JUN-2021|AMFG|EQUITY|434000000|3570|23500|14225482|94500|0|25627100|1392400|73776|0|0|41436758|0|22143200|0|1016300|405700|7513700|12010259|0|241083|43330242
30-JUN-2021|AMIN|EQUITY|1080000000|210|0|20490600|0|0|101993800|0|29783800|0|0|152268200|0|17438300|0|0|68365000|0|192800|0|1735700|87731800
30-JUN-2021|AMOR|EQUITY|1111111200|3500|21207400|173264500|0|0|225192900|180000|0|0|0|419844800|0|0|0|20847527|505400|2040300|179000|204600|429573|24206400
30-JUN-2021|AMRT|EQUITY|41524501700|1250|871778900|23803008867|35250400|0|2869611478|441472700|1288509|13040600|0|28035451454|15424000|3083393315|458736000|1993538238|3621600|2348442828|2601799328|125198600|2858896337|13489050246
30-JUN-2021|ANDI|EQUITY|9350000000|50|19879605|766668480|1017800|0|2017222941|1624381217|266804208|2591900|105600|4698671751|0|9900|0|5000|1171449|0|111900|0|0|1298249
30-JUN-2021|ANJT|EQUITY|3354175000|655|160745300|95497453|0|0|81778010|100|0|0|0|338020863|0|5000000|2000|300|7220537|0|1794300|0|2137000|16154137
30-JUN-2021|ANTM|EQUITY|24030764725|2300|708002817|145689462|215934757|3700|3070160519|1241680173|78753533|24970375|2698300|5487893636|29768001|152373484|302664625|360728254|21224841|957767992|218464486|3652800|833796286|2880440769
30-JUN-2021|APEX|EQUITY|2659850000|635|0|1827214694|0|0|58529920|0|2500|0|0|1885747114|0|573737577|0|122568650|5200|0|77787|0|0|696389214
30-JUN-2021|APIC|EQUITY|11766313488|830|1206036650|8412545280|2750000|0|314952259|738115257|273892091|37250000|0|10985541537|4523744|262016901|5874700|419425700|20250|48181000|737400|0|39992256|780771951
30-JUN-2021|APII|EQUITY|1075760000|185|0|1000|0|0|53467700|0|0|0|0|53468700|0|0|0|798600|37783300|0|39427400|0|143096000|221105300
30-JUN-2021|APLI|EQUITY|1362671400|198|0|201399300|0|0|559465000|0|165000|0|0|761029300|0|0|0|0|185800|0|1355300|0|0|1541100
30-JUN-2021|APLN|EQUITY|22699326779|136|5283600|9329443898|3183600|0|3188505857|13575200|107410805|937700|390000|12648730660|0|13727982|0|289539620|20072200|4073800|21482383|0|7920134|356816119
30-JUN-2021|APOL|EQUITY|16452282461|50|0|727162400|1400000|0|779537459|0|1668200|14086735|0|1523854794|0|2653784186|0|1180647657|16069992|0|1410334020|0|85088011|5345923866
30-JUN-2021|ARCI|EQUITY|24835000000|750|57880600|6380512100|3619400|0|528161500|175923100|0|1333000|100000|7147529700|0|2000000|0|508477960|4146800|7146578|0|0|650948962|1172720300
30-JUN-2021|ARGO|EQUITY|335557450|1425|45000|34150914|0|0|545050|0|83500|0|0|34824464|0|280|0|5378000|11250|0|13200|0|5720|5408450
30-JUN-2021|ARII|EQUITY|3131000000|276|117981800|1097023500|70800|0|639389700|138265500|0|0|0|1992731300|0|312864100|0|274006400|2095800|0|1500000|0|60441400|650907700
30-JUN-2021|ARKA|EQUITY|2000000000|50|0|1505722000|0|0|487001300|0|0|0|0|1992723300|0|100|0|0|2489600|0|3537000|0|0|6026700
30-JUN-2021|ARMY|EQUITY|9006250000|50|1367638669|2776268954|4032934|0|1765363564|2066102585|279807887|2526449|14900|8261755942|0|488927400|0|32396000|1064158|1687200|4800|0|0|524079558
30-JUN-2021|ARNA|EQUITY|7341430976|735|46530497|1106931976|2770800|0|3289933061|308100900|37248|3621000|0|4757925482|0|461868460|78299900|448647056|55892928|1193989558|28986782|16228200|299592610|2583505494
30-JUN-2021|ARTA|EQUITY|446674175|486|0|39777500|0|0|399600525|0|0|0|0|439378025|0|0|0|250|499500|0|6796400|0|0|7296150
30-JUN-2021|ARTI|EQUITY|7840000000|50|139003974|2676914486|739500000|0|3702307100|505451300|27948040|0|0|7791124900|0|110700|0|0|14590400|0|12130000|0|20669000|47500100
30-JUN-2021|ARTO|EQUITY|13856250000|13625|206549401|7022496088|15284697|0|1132883000|172497935|41550540|349400|15|8591611076|1343700|1206832295|18447170|2552387698|376500|76443024|40128179|0|1230117858|5126076424
30-JUN-2021|ASBI|EQUITY|348386472|290|21492|309537614|922|1106|23227148|0|332456|0|0|333120738|0|0|0|1480000|530170|0|1248828|0|0|3258998
30-JUN-2021|ASDM|EQUITY|192000000|925|0|31252100|0|13200|17447360|2000000|0|0|0|50712660|0|0|0|18000|499900|0|2007200|0|0|2525100
30-JUN-2021|ASGR|EQUITY|1348780500|735|1552500|117560|16700|178000|179394078|533400|131501|500|3249100|185173339|0|268400|7660000|48945154|1158000|20889900|9551285|3453500|20231232|112157471
30-JUN-2021|ASIA|EQUITY|2275009490|0|250000|16506304|0|0|1022881843|0|3425200|0|22006500|1065069847|0|334|0|1720002|13516173|0|24374843|0|1153364243|1192975595
30-JUN-2021|ASII|EQUITY|40483553140|4940|2433601952|102480664|263863623|555650|1408427277|1363263101|22285790|39636100|23578730|5657692887|221367336|726057112|1722159229|1482951145|7837520|5090888138|476083062|178262577|2691256154|12596862273
30-JUN-2021|ASJT|EQUITY|600000000|224|30426303|1000000|464365700|0|56352011|38462086|4290900|0|5102900|599999900|0|0|0|0|100|0|0|0|0|100
30-JUN-2021|ASMI|EQUITY|8958380460|825|2686209800|2360665900|0|0|3795692460|30750500|12155500|0|33604400|8919078560|0|54100|0|9190500|24850600|2931200|1199800|0|1075700|39301900
30-JUN-2021|ASPI|EQUITY|681792825|50|0|154008000|0|0|318730625|0|13050000|0|0|485788625|0|100|0|0|4100|0|0|0|0|4200
30-JUN-2021|ASRI|EQUITY|19649411888|160|15942700|8151269860|25996000|20000|3510481542|123875799|3710120507|15013500|300000|15553019908|0|100659142|61226006|320067629|12528800|249148956|325474145|0|44837302|1113941980
30-JUN-2021|ASRM|EQUITY|304283840|1675|15213|33357079|1457524|0|9529175|0|2649|135|0|44361775|0|218616|0|33828|1318|0|372463|0|2140398|2766623
30-JUN-2021|ASSA|EQUITY|3397500000|2270|3791600|1739721037|20100150|0|1242623563|206965000|6667830|2241200|100|3222110480|0|487900|0|39486820|1883400|9753300|3177900|0|120600200|175389520
30-JUN-2021|ATAP|EQUITY|1250000000|107|0|59500000|0|0|67500000|0|0|0|0|127000000|0|123000000|0|0|0|0|0|0|0|123000000
30-JUN-2021|ATIC|EQUITY|2315361355|1965|0|798775818|0|0|495365816|0|0|0|0|1294141634|0|863647641|0|3400|91700|0|25000|0|0|863767741
30-JUN-2021|ATPK|EQUITY|5760245414|194|334100|3695100|18900|0|258050494|0|0|0|0|262098594|0|3651000|3400000|366222000|1161500|0|516347807|0|99759129|990541436
30-JUN-2021|AUTO|EQUITY|4819733000|1085|487000|56606287|724375|0|259312693|50553134|6881617|2500|75|374567681|0|399199749|4334300|56507920|1023325|110437274|5933274|1898100|8780320|588114262
30-JUN-2021|AYLS|EQUITY|853423236|72|0|594760000|0|0|258463236|0|0|0|0|853223236|0|0|0|0|0|0|200000|0|0|200000
30-JUN-2021|BABP|EQUITY|25390560389|276|121046924|12585272188|0|0|3004910364|349719876|11077950|0|169700|16072197002|0|8541200456|0|36908900|3482700|0|1404483|0|463741222|9046737761
