Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
26-AUG-2011|AALI|EQUITY|1574745000|21500|34977500|18209027|10809600|25000|34491469|20585700|1763852|573000|3884004|125319152|3271124|34423479|18011321|23266079|696500|82553718|8496251|55444|23379244|194153160
26-AUG-2011|ABBA|EQUITY|2755125000|147|4287500|806638143|4224458|0|196723841|0|67475243|0|0|1079349185|0|0|0|0|550000|0|0|0|284480000|285030000
26-AUG-2011|ABDA|EQUITY|620806680|660|45322|168492742|0|98|27724351|0|1135618|150|0|197398281|0|6936340|0|234962522|8725650|0|0|0|168816349|419440861
26-AUG-2011|ACES|EQUITY|1715000000|3300|30115000|6150870|5867500|0|66368000|57274000|586|0|0|165775956|20500|220213450|46603255|66513395|33802500|131628944|325000|0|21617000|520724044
26-AUG-2011|ADES|EQUITY|589896800|1260|420500|3540841|1935000|778|27659336|0|76255|0|0|33632710|0|205000|0|11296549|542548113|0|0|0|1191428|555241090
26-AUG-2011|ADFO|EQUITY|745543638|0|10000|118475120|0|5000|57674500|0|466500|0|0|176631120|0|147319420|0|0|144146570|0|0|0|243009528|534475518
26-AUG-2011|ADHI|EQUITY|1801320000|580|19291500|53188735|100132500|0|254132000|101721500|2247765|7973500|0|538687500|0|18665883|17121500|112235000|35745500|94054117|2913500|5685500|57521500|343942500
26-AUG-2011|ADMF|EQUITY|1000000000|11100|6510500|118100|40500|950000000|8809500|866500|201400|0|0|966546500|0|24019500|0|5597500|739500|686000|205500|0|2155500|33403500
26-AUG-2011|ADMG|EQUITY|3889179559|700|1680000|1174670417|1061500|0|391417187|30768583|5752513|0|0|1605350200|0|654500|5223000|13912000|11075500|19838500|6608000|817000|87523000|145651500
26-AUG-2011|ADRO|EQUITY|31985962000|2025|608015500|15478915675|115562500|0|5674880448|355513500|36182504|10923000|12500|22280005627|126604827|2713151241|618779744|1398032119|207070356|2582013532|869457285|4918500|1185928769|9705956373
26-AUG-2011|AGRO|EQUITY|3618095578|161|4085000|2887669116|482999379|0|195508406|0|0|125000|0|3570386901|0|0|0|200000|210500|0|400000|0|101000|911500
26-AUG-2011|AHAP|EQUITY|500000000|199|306792512|26978615|0|0|64830544|0|89038|0|0|398690709|0|0|0|0|72373097|0|645841|0|23949495|96968433
26-AUG-2011|AIMS|EQUITY|110000000|180|0|53228500|0|0|41682000|0|13000|0|0|94923500|0|0|0|0|1500|0|0|0|15000000|15001500
26-AUG-2011|AISA|EQUITY|1672000000|750|0|339317500|50000|0|409777447|18187000|76941192|0|0|844273139|0|288768691|594000|176031109|2250000|14729722|2521839|0|342197500|827092861
26-AUG-2011|AKKU|EQUITY|230000000|200|0|0|0|0|9271500|0|73500|0|0|9345000|0|0|0|0|218500000|0|2000000|0|155000|220655000
26-AUG-2011|AKPI|EQUITY|680000000|1250|0|84904596|0|0|9849154|0|1887|0|0|94755637|0|73032133|34|28584098|837|0|18000|0|96760840|198395942
26-AUG-2011|AKRA|EQUITY|3821543500|2650|75373500|366930504|33371000|0|172710200|62513100|1301132|557000|47500|712803936|3283000|145347300|121073700|257069138|8677000|515377681|75965200|630000|38934225|1166357244
26-AUG-2011|AKSI|EQUITY|720000000|100|0|555242500|0|0|26013500|0|0|0|0|581256000|0|0|0|0|0|0|0|0|138744000|138744000
