Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
28-DEC-2012|AALI|EQUITY|1574745000|19700|29795000|11507218|9505600|25000|31669121|22244845|687340|289500|3880004|109603628|4476724|28858457|30551175|22337042|2224000|78978323|10256986|69444|32117733|209869884
28-DEC-2012|ABBA|EQUITY|2755125000|80|36070000|577302071|4224458|0|394496937|0|67484743|100000|0|1079678209|0|0|0|284480000|221000|0|0|0|0|284701000
28-DEC-2012|ABDA|EQUITY|620806680|1830|43822|130923078|0|98|5640312|0|510058|150|0|137117518|0|95541676|0|134380679|400|48000|0|0|249752365|479723120
28-DEC-2012|ABMM|EQUITY|2753165000|3000|1925000|14058500|3403500|0|64789990|58760500|3060510|3408000|0|149406000|0|5899000|331000|74014000|839000|56394500|28500|0|318784000|456290000
28-DEC-2012|ACES|EQUITY|17150000000|820|368937500|65525366|86997000|0|585380940|295278500|62534395|0|0|1464653701|31513500|892314750|193910290|686994110|88335000|2728011718|30574000|20995500|727697431|5400346299
28-DEC-2012|ADES|EQUITY|589896800|1920|20500|3723315|947000|778|32184042|4142500|77160|0|0|41095295|0|405000|0|3008464|542630613|543000|0|0|1191428|547778505
28-DEC-2012|ADFO|EQUITY|745543638|0|10000|117310120|0|5000|57765000|0|1131500|0|0|176221620|0|147319420|0|0|144146570|0|0|0|243009528|534475518
28-DEC-2012|ADHI|EQUITY|1801320000|1760|7059000|12511395|56951500|0|117750500|387037000|2735265|6626500|0|590671160|1290000|12850000|26844000|19155500|26659500|80956340|8848500|5685500|109669500|291958840
28-DEC-2012|ADMF|EQUITY|1000000000|9800|4483500|63100|10000|950000000|8279000|1129500|289400|0|0|964254500|0|24095000|0|8187500|423000|707000|222500|0|2060500|35695500
28-DEC-2012|ADMG|EQUITY|3889179559|365|3745000|358680986|4445500|0|359458687|31662083|3075013|0|0|761067269|3255500|11226000|8104014|25251500|7207000|40378500|5639000|901000|7895500|109858014
28-DEC-2012|ADRO|EQUITY|31985962000|1590|1085676500|16026308379|258260500|0|6072516724|629029746|45985720|14420000|100000|24132297569|97582627|1507769292|701180495|1415438030|174821298|1477985146|729996112|9305500|1738885931|7852964431
28-DEC-2012|AGRO|EQUITY|3618095578|147|0|2886894616|484199379|0|198680906|0|1500|125000|0|3569901401|0|0|0|251000|203000|0|100000|0|843000|1397000
28-DEC-2012|AHAP|EQUITY|500000000|190|306792512|31955342|0|0|64920223|0|92632|0|0|403760709|0|0|0|0|91149251|0|645841|0|103341|91898433
28-DEC-2012|AIMS|EQUITY|110000000|240|0|57645500|0|0|37006500|0|271500|0|0|94923500|0|0|0|0|1500|0|0|0|15000000|15001500
28-DEC-2012|AISA|EQUITY|2926000000|1080|18869000|1186331100|7467500|0|456459866|57605500|1102447|3000|20000|1727858413|4738000|73310500|3109500|173754668|89268000|399932665|42923704|0|410473550|1197510587
28-DEC-2012|AKKU|EQUITY|230000000|164|0|0|0|0|24768500|0|73500|0|0|24842000|0|195289000|0|0|80000|0|2000000|0|7789000|205158000
28-DEC-2012|AKPI|EQUITY|680000000|800|0|96909827|0|0|10857255|17500|29555|0|0|107814137|0|0|34|100833731|837|0|18000|0|96484840|197337442
28-DEC-2012|AKRA|EQUITY|3851443500|4150|73578500|354580972|29706500|0|75768085|83878686|974391|1687000|0|620174134|6845500|89959811|92192000|164361457|188211500|540255075|21842448|215500|185056255|1288939546
28-DEC-2012|AKSI|EQUITY|720000000|72|0|555019500|0|0|26236500|0|0|0|0|581256000|0|0|0|0|0|0|0|0|138744000|138744000
28-DEC-2012|ALDI|EQUITY|398260000|0|0|125500|0|100000|170729000|0|2618000|0|0|173572500|0|0|0|0|105000|0|43500|0|80000|228500
28-DEC-2012|ALDO|EQUITY|550000000|470|0|321230769|725000|0|206944231|0|0|0|0|528900000|0|21000000|0|0|0|0|0|0|100000|21100000
28-DEC-2012|ALKA|EQUITY|101533011|550|0|2204250|0|0|1484620|0|11840|0|0|3700710|0|0|0|17500|155000|0|0|0|2089400|2261900
28-DEC-2012|ALMI|EQUITY|308000000|650|233000|8759500|0|0|40721500|0|851500|0|0|50565500|0|0|0|35000|489000|0|50500|0|26500|601000
28-DEC-2012|ALTO|EQUITY|1550000000|315|0|1383000000|387500|0|50340000|0|1500|0|0|1433729000|0|0|0|0|2756000|0|263500|0|0|3019500
28-DEC-2012|AMAG|EQUITY|2873290550|230|548293693|59434278|422868000|388000000|422662915|1686000|10001499|0|0|1852946385|0|66829999|0|294889999|10089000|243618000|17577000|0|7347000|640350998
28-DEC-2012|AMFG|EQUITY|434000000|8300|4974500|9119710|177500|0|8843500|13086000|110442|142500|0|36454152|0|1510500|305500|5246000|96000|9601349|542862|34000|13120137|30456348
28-DEC-2012|AMRT|EQUITY|3774954700|5250|20712500|2166314734|405500|0|70121000|40245500|2434|0|0|2297801668|2948811|23917761|1418345|586832842|19500|208236380|79110000|3256|574666137|1477153032
28-DEC-2012|ANTM|EQUITY|9538459750|1280|464540000|220576344|181292500|250|1243865961|135046252|24772707|15294375|180000|2285568389|20069000|42968460|107435871|127502395|19964525|443497506|56295133|563500|166419471|984715861
28-DEC-2012|APEX|EQUITY|2659850000|0|0|2241500|0|0|230204659|0|3000|0|34540041|266989200|0|119869685|0|0|15000|21865285|29000|0|2207846362|2349625332
28-DEC-2012|APIC|EQUITY|2940498750|199|0|2098527533|0|0|827017067|11903675|49025|250000|0|2937747300|0|0|0|1375000|928450|0|273000|0|175000|2751450
28-DEC-2012|APLI|EQUITY|1500000000|86|0|218262500|0|0|280424652|0|66500|0|0|498753652|0|399899848|0|0|70000|0|1175500|0|0|401145348
28-DEC-2012|APLN|EQUITY|20500900000|370|715740500|71596929|185061500|0|747876500|932013000|84125200|22483500|0|2758897129|29819500|183726000|377109500|332464500|67456000|2242629696|11938500|0|146859175|3392002871
28-DEC-2012|APOL|EQUITY|8670479000|50|0|892040735|1950000|0|445097500|0|249000|762500|0|1340099735|0|1220500|0|651791000|17319000|0|31964025|0|36459500|738754025
28-DEC-2012|ARGO|EQUITY|335557450|1000|45000|29182334|0|0|2357300|0|2311180|0|0|33895814|0|280|0|100000|11250|0|272500|0|522220|906250
28-DEC-2012|ARII|EQUITY|3000000000|1510|57559500|690976000|439500|0|324052500|3716000|0|1846000|0|1078589500|0|700000|0|471163500|111001000|0|271000|0|176000000|759135500
28-DEC-2012|ARNA|EQUITY|1835357744|1640|584500|258121944|2853500|0|46241379|31672000|345527|0|0|339818850|0|114800500|227000|540177684|38816514|287696880|25514500|0|488305816|1495538894
28-DEC-2012|ARTA|EQUITY|446674175|315|0|64943500|0|0|26988425|0|0|0|0|91931925|0|2400000|0|306250000|643250|0|6360000|0|39089000|354742250
28-DEC-2012|ARTI|EQUITY|1568000000|260|3100000|1046638849|2500000|0|328253151|1947500|604000|0|0|1383043500|0|146279000|0|236000|5879500|0|0|0|11187000|163581500
28-DEC-2012|ASBI|EQUITY|174193236|490|135746|146857142|461|553|17688224|0|660649|0|0|165342775|0|0|0|0|1569985|0|808642|0|417199|2795826
28-DEC-2012|ASDM|EQUITY|192000000|740|860000|18261600|0|0|22790860|0|300|0|0|41912760|0|0|0|1611200|1104100|0|8000|0|207600|2930900
28-DEC-2012|ASGR|EQUITY|1348780500|1350|2843000|4553182|5104000|0|102738238|76129500|340471|5500|0|191713891|0|23055500|7978403|10817540|1454500|38847800|2891676|4848000|15250000|105143419
28-DEC-2012|ASIA|EQUITY|2275009490|50|250000|16558981|0|0|1029273306|0|3071060|0|22006500|1071159847|0|334|0|2|25334673|0|8148670|0|1153401916|1186885595
28-DEC-2012|ASII|EQUITY|40483553140|7600|840091213|236402644|260412950|72500|354747290|787320141|15571304|14467500|22416530|2531502072|275276370|2055944022|1533995182|1701274736|728374197|6181280079|500510425|12312410|2729768227|15718735648
28-DEC-2012|ASJT|EQUITY|300000000|460|0|0|294302500|0|1529500|0|0|0|4168000|300000000|0|0|0|0|0|0|0|0|0|0
28-DEC-2012|ASRI|EQUITY|19649411888|600|378216000|6747505377|144308500|0|940280378|963198472|74708410|86290000|0|9334507137|140847160|675201561|660185467|3179464767|149778604|1670858711|109455053|18338500|728324928|7332454751
28-DEC-2012|ASRM|EQUITY|214559422|980|10728|942155|1032032|0|5605309|0|49376|0|0|7639600|0|0|0|3224513|200|0|0|0|276669|3501382
28-DEC-2012|ASSA|EQUITY|3397500000|425|53805000|33501500|107534000|0|205879000|579120000|7850000|16578000|0|1004267500|0|14941000|0|164779000|9851500|81805500|480000|0|83875500|355732500
