"Tepung Spelt (Spelt flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Talas (Taro Powder)","Bahan Baku",NO,NO,NO,YES
"TEPUNG TAPIOKA","Bahan Baku",NO,NO,NO,NO
"TEPUNG TELUR","Bahan Baku",NO,YES,NO,YES
"Tepung Tempura (Tempura Flour)","Bahan Baku",NO,NO,NO,YES
"TEPUNG TERIGU (WHEAT FLOUR)","Bahan Baku",NO,NO,NO,YES
"Tepung Terigu Diperkaya (Enriched Flour)","Bahan Baku",NO,NO,NO,NO
"Tepung Terigu Protein Rendah (Low Protein Flour)","Bahan Baku",NO,NO,NO,NO
"Tepung Terigu Protein Sedang (Cake Flour)","Bahan Baku",NO,NO,NO,NO
"Tepung Terigu Protein Tinggi (High Protein Flour)","Bahan Baku",NO,NO,NO,NO
"TEPUNG TERIGU SEMOLINA (SEMOLINA FLOUR)","Bahan Baku",NO,NO,NO,NO
"Tepung Terigu Terfermentasi (Fermented Flour)","Bahan Baku",NO,NO,NO,YES
"TEPUNG UBI (CASSAVA FLOUR)","Bahan Baku",NO,NO,NO,NO
"Tepung Ubi Jalar (Sweet Potato Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Ubi Jalar Ungu (Violet Sweet Potato Powder)","Bahan Baku",NO,NO,NO,YES
"Tequila (Tequilla)","Bahan Baku",NO,NO,NO,YES
"Terasi - Belacan (Paste)","Bahan Baku",NO,NO,NO,YES
"Terasi - Belacan Udang (Shrimp Paste)","Bahan Baku",NO,NO,NO,YES
"Terasi Bubuk (Shrimp Paste Powder)","Bahan Baku",NO,NO,NO,YES
"TERIPANG LAUT (SEA CUCUMBERS - HOLOTHUROIDEA)","Bahan Baku",NO,NO,NO,YES
"Terong (Eggplant)","Bahan Baku",NO,NO,NO,YES
"TETES TEBU (MOLASES, TREACLE)","Bahan Baku",NO,NO,NO,YES
"THIAMIN MONONITRAT","Bahan Baku",NO,NO,NO,NO
"Tepung Muffin (Muffin Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Olahan / Pati Olahan / Protein Olahan","Bahan Baku",NO,NO,NO,YES
"Tepung Panir (Panir Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Premiks (Premix Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Premiks Es Krim (Ice Cream Base)","Bahan Baku",YES,YES,NO,YES
"Tepung Quinoa (Quinoa Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Roti (Bread Crumb)","Bahan Baku",NO,NO,NO,YES
"Tepung Roti (Bread Flour)","Bahan Baku",NO,NO,NO,YES
"Tepung Malt (Malt Flour)","Bahan Baku",NO,NO,NO,YES
"Tarako Bubuk (Tarako Powder)","Bahan Baku",NO,NO,NO,YES
"TAUCO (TAUCO)","Bahan Baku",NO,NO,NO,YES
"TAURIN (TAURINE)","Bahan Baku",NO,NO,YES,YES
Tebu,"Bahan Baku",NO,NO,NO,NO
"Tebu (Cane)","Bahan Baku",NO,NO,NO,YES
"TEH (TEA)","Bahan Baku",NO,NO,NO,NO
"TIAMIN MONONITRAT (VIT B1)","Bahan Baku",NO,NO,NO,NO
"TIMI (THYME - THYMUS VULGARIS)","Bahan Baku",NO,NO,NO,YES
"TIMI BUBUK (THYME - THYMUS VULGARIS POWDER)","Bahan Baku",NO,NO,NO,YES
"Tinta Cumi (Squid Ink)","Bahan Baku",NO,NO,NO,YES
"Tiram (Oyster)","Bahan Baku",NO,NO,NO,YES
"Tiramisu (Tiramisu)","Bahan Baku",NO,NO,NO,YES
"Tirosin (Thyrosin)","Bahan Baku",NO,NO,NO,YES
TOFFEE,"Bahan Baku",NO,NO,NO,NO
"Tomat (Tomato)","Bahan Baku",NO,NO,NO,YES
"Tomat Bubuk (Tomato Powder)","Bahan Baku",NO,NO,NO,YES
"Tomat Cincang (Chopped Tomato)","Bahan Baku",NO,NO,NO,YES
"Tomat Hijau (Green Tomato)","Bahan Baku",NO,NO,NO,YES
"Tomat Kering (Dried Tomato)","Bahan Baku",NO,NO,NO,YES
"Tomat Kupas (Peeled Tomato)","Bahan Baku",NO,NO,NO,YES
"TONGKAT ALI BUBUK (EURYCOMA LONGIFOLIA POWDER)","Bahan Baku",NO,NO,NO,NO
TOPPING,"Bahan Baku",NO,NO,NO,YES
"Torbangun (Mexican mint)","Bahan Baku",NO,NO,NO,YES
"TREHALOSA (TREHALOSE DIHYDRATE)","Bahan Baku",NO,NO,NO,YES
"TREONIN (THREONINE)","Bahan Baku",NO,NO,NO,YES
TRIBULUS,"Bahan Baku",NO,NO,YES,NO
"Trikalium fosfat (Tripotassium orthophosphate)","Bahan Baku",NO,NO,NO,YES
"trikalium sitrat (tripotassium citrate)","Bahan Baku",NO,NO,NO,YES
"Trikalium Sitrat Monohidrat (Tripotassium Citrate Monohydrate)","Bahan Baku",NO,NO,NO,YES
"Trikalsium Fosfat (Tricalcium Phosphate)","Bahan Baku",NO,NO,NO,YES
"trikalsium sitrat (Tricalcium citrate)","Bahan Baku",NO,NO,NO,YES
"Trimagnesium sitrat anhidrat (Trimagnesium Citrate Anhydrous)","Bahan Baku",NO,NO,NO,YES
"TRINATRIUM FOSFAT (TRISODIUM ORTHOPHOSPHATE)","Bahan Baku",NO,NO,NO,NO
"TRINATRIUM FOSFAT (TRISODIUM OTRHOPHOSPHATE)","Bahan Baku",NO,NO,NO,NO
"TRINATRIUM SITRAT (TRISODIUM CITRATE) (KECUALI MP ASI)","Bahan Baku",NO,NO,NO,YES
"Triptofan (Triptophan)","Bahan Baku",NO,NO,NO,YES
Triticale,"Bahan Baku",NO,NO,NO,YES
"Truffle (Truffle)","Bahan Baku",NO,NO,NO,YES
"Tulang Ayam (Chicken Bone)","Bahan Baku",NO,NO,NO,YES
"Tulang Babi (Pig Bone)","Bahan Baku",NO,NO,NO,YES
"Tulang Ikan Salmon (Salmon Bone)","Bahan Baku",NO,NO,NO,YES
"Tulang Muda Ikan Hiu Bubuk (Cartilage Shark Powder)","Bahan Baku",NO,NO,NO,YES
"Tulang Sapi (Cow's Bone)","Bahan Baku",NO,NO,NO,YES
"Tuna Bubuk (Tuna Powder)","Bahan Baku",NO,NO,NO,YES
"TVP (Texturized Vegetable Protein)","Bahan Baku",NO,NO,NO,YES
"UBI JALAR (SWEET POTATO)","Bahan Baku",NO,NO,NO,YES
"Ubi Jepang (Japanese Yam)","Bahan Baku",NO,NO,NO,YES
"UBI KAYU (CASSAVA)","Bahan Baku",NO,NO,NO,NO
"UBI MADU (SWEET HONEY POTATO)","Bahan Baku",NO,NO,NO,YES
"Ubi Merah ","Bahan Baku",NO,NO,NO,YES
"UBI RAMBAT (YAM)","Bahan Baku",NO,NO,NO,NO
"UBI UNGU (PURPLE SWEET POTATO)","Bahan Baku",NO,NO,NO,YES
"Ubur-Ubur (Jellyfish)","Bahan Baku",NO,NO,NO,YES
"Udang Bubuk (Shrimp Powder)","Bahan Baku",NO,NO,NO,YES
"UDANG (FRESH PRAWN)","Bahan Baku",NO,NO,NO,YES
"Udang (Shrimp)","Bahan Baku",NO,NO,NO,YES
"Udang Kering - Ebi (Dried Shrimp)","Bahan Baku",NO,NO,NO,YES
"Udang Rebon (Shrimp Rebon)","Bahan Baku",NO,NO,NO,YES
"UMBI KONNYAKU (KONJAC)","Bahan Baku",NO,NO,NO,YES
