Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAR-2011|AALI|EQUITY|1574745000|22700|40096000|21226902|11613600|25000|35827469|25121200|1738999|767000|3888504|140304674|3158124|22313376|12345211|20205843|17884937|75231235|7865261|633444|19530207|179167638
31-MAR-2011|ABBA|EQUITY|2755125000|199|0|618993643|4224458|0|202036841|0|66987743|0|0|892242685|0|0|0|187000000|656500|0|0|0|284480000|472136500
31-MAR-2011|ABDA|EQUITY|275914080|650|32401|482300|0|98|7861660|0|35001|150|0|8411610|0|4858318|0|103688190|6317900|48998039|0|0|99672485|263534932
31-MAR-2011|ACES|EQUITY|1715000000|2550|25223500|6125405|5867500|0|66342000|50664000|153|0|0|154222558|20500|255115500|74616255|86078437|35494000|66821250|250000|0|13881500|532277442
31-MAR-2011|ADES|EQUITY|589896800|1180|420500|3607341|1760000|778|27089836|0|127255|0|0|33005710|0|236000|0|11310049|543769541|537000|0|0|15500|555868090
31-MAR-2011|ADFO|EQUITY|745543638|0|10000|118667620|0|5000|57762000|0|256500|0|0|176701120|0|147319420|0|0|144076570|0|0|0|243009528|534405518
31-MAR-2011|ADHI|EQUITY|1801320000|840|2636500|89352335|95628500|0|173658500|118096500|10353077|7976500|0|497701912|0|14915000|15262500|149596088|39511000|100464500|5905500|5685500|53588000|384928088
31-MAR-2011|ADMF|EQUITY|1000000000|11250|7143500|216600|40500|950000000|8535000|829500|400|0|0|966765500|0|23551500|0|5522000|875000|636000|197000|0|2453000|33234500
31-MAR-2011|ADMG|EQUITY|3889179559|195|12232000|973787417|950000|0|298971187|21190583|643513|0|0|1307774700|0|1032000|0|5403000|11376000|10937000|830000|0|10351000|39929000
31-MAR-2011|ADRO|EQUITY|31985962000|2200|627620000|15520739339|195407000|0|5802541857|399622500|35369715|12795500|12500|22594108411|125288500|2299630508|512294751|1226188066|647339094|2706903801|717920772|7445746|1148842351|9391853589
31-MAR-2011|AGRO|EQUITY|3438729035|171|2950000|3031313903|224273877|0|131301656|0|0|125000|0|3389964436|0|0|0|0|201000|0|0|0|1759500|1960500
31-MAR-2011|AHAP|EQUITY|500000000|127|306792512|26978615|0|0|64780033|0|89549|0|0|398640709|0|0|0|0|72423097|0|645841|0|23949495|97018433
31-MAR-2011|AIMS|EQUITY|110000000|135|0|53232500|0|0|41682000|0|9000|0|0|94923500|0|0|0|0|1500|0|0|0|15000000|15001500
31-MAR-2011|AISA|EQUITY|1672000000|800|1960500|350150500|5000|0|306416947|0|78634000|0|0|737166947|0|609650553|155500|89134500|69178500|1399500|324000|0|164351500|934194053
31-MAR-2011|AKKU|EQUITY|230000000|145|0|200000|0|0|7771500|0|73500|0|0|8045000|0|0|0|0|218655000|0|3300000|0|0|221955000
31-MAR-2011|AKPI|EQUITY|680000000|910|10000|84904596|0|0|8547988|0|23887|0|0|93486471|0|73032133|34|21458081|6681520|0|18000|0|98210340|199400108
31-MAR-2011|AKRA|EQUITY|3792936000|1470|67963500|329845240|15417000|0|202051800|69403600|4485426|50000|0|689216566|162000|123227700|102013700|235201108|50760000|564027781|73042200|0|10769225|1159203714
31-MAR-2011|AKSI|EQUITY|720000000|100|0|555242500|0|0|26013500|0|0|0|0|581256000|0|0|0|0|0|0|0|0|138744000|138744000
31-MAR-2011|ALDI|EQUITY|398260000|0|0|32748000|0|100000|139859500|0|2543000|0|0|175250500|0|0|0|80000|105000|0|0|0|43500|228500
31-MAR-2011|ALFA|EQUITY|468000000|2400|0|467500450|0|0|391550|0|19500|500|0|467912000|0|0|0|4500|33000|0|0|0|0|37500
