Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
28-FEB-2011|AALI|EQUITY|1574745000|21850|40225000|21245650|11234600|25000|35911869|24398200|1739093|725000|3888504|139392916|1276124|25344787|3332500|52626142|22443337|34923284|8656036|586944|30890242|180079396
28-FEB-2011|ABBA|EQUITY|2755125000|235|0|724510143|4224458|0|71931841|0|67637743|0|0|868304185|0|187000000|0|0|0|0|0|0|284980000|471980000
28-FEB-2011|ABDA|EQUITY|275914080|560|32401|370300|0|98|11796160|0|10001|150|0|12209110|0|4858318|0|390|106097200|0|72000|0|148709524|259737432
28-FEB-2011|ACES|EQUITY|1715000000|2500|24743500|6125405|5588000|0|66266500|47495500|0|0|0|150218905|0|50744000|0|257795000|44619090|62090750|28212500|0|92819755|536281095
28-FEB-2011|ADES|EQUITY|589896800|1040|420500|3582341|1760000|778|26883336|232500|129755|0|0|33009210|0|11319085|0|226964|1191428|417000|0|0|542710113|555864590
28-FEB-2011|ADFO|EQUITY|745543638|0|10000|118667620|0|5000|57302000|0|646500|0|0|176631120|0|0|0|0|144059070|0|0|0|390416448|534475518
28-FEB-2011|ADHI|EQUITY|1801320000|830|2486500|87596797|93080500|0|160046000|123529000|8434365|7450000|0|482623162|0|10697500|14855500|150515588|127664000|54564000|6195500|5685500|29829250|400006838
28-FEB-2011|ADMF|EQUITY|1000000000|10500|7143500|779100|40500|950000000|8507000|295000|400|0|0|966765500|0|23551500|0|5560500|771500|0|1150500|0|2200500|33234500
28-FEB-2011|ADMG|EQUITY|3889179559|191|12232000|973037417|950000|0|299468187|21190583|892513|0|0|1307770700|0|2032000|0|10203000|10740000|4604500|750000|0|11599500|39929000
28-FEB-2011|ADRO|EQUITY|31985962000|2450|604805500|15458313366|176289500|0|5609301217|425175500|30012022|7454500|112500|22311464105|22581000|1987919041|337949777|1855232863|1135785294|1536886440|752232709|3059500|2042851271|9674497895
28-FEB-2011|AGRO|EQUITY|3431159012|141|2950000|1074880|3253762900|0|125682633|0|0|125000|0|3383595413|0|0|0|0|200000|0|0|0|559500|759500
