release,date,author,status,maturity,version,first,distribution,abstract
Mail-Run-Crypt-0.12,2021-06-30T23:58:00,TEJR,latest,released,0.12,,Mail-Run-Crypt,"Encrypt and mail output from command runs"
List-Breakdown-0.25,2021-06-30T23:56:34,TEJR,cpan,released,0.25,,List-Breakdown,"Build sublist structures matching conditions"
Music-Lyrics-LRC-0.16,2021-06-30T23:44:55,TEJR,cpan,released,0.16,,Music-Lyrics-LRC,"Manipulate LRC karaoke timed lyrics files"
List-Breakdown-0.24,2021-06-30T23:42:05,TEJR,cpan,released,0.24,,List-Breakdown,"Build sublist structures matching conditions"
Net-FullAuto-1.0000606,2021-06-30T19:59:09,REEDFISH,backpan,released,1.0000606,,Net-FullAuto,"Perl Based Secure Distributed Computing Network Process"
Pod-Elemental-Transformer-Stenciller-0.0301,2021-06-30T18:28:02,CSSON,latest,released,0.0301,,Pod-Elemental-Transformer-Stenciller,"Injects content from textfiles transformed with Stenciller"
App-orgdaemon-1.11,2021-06-30T18:21:24,SREZIC,latest,released,1.11,,App-orgdaemon,"watch for appointments in org-mode files"
App-DBBrowser-2.270,2021-06-30T17:59:34,KUERBIS,backpan,released,2.270,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
Astro-FITS-CFITSIO-FileName-0.05,2021-06-30T16:48:36,DJERIUS,latest,released,0.05,,Astro-FITS-CFITSIO-FileName,"parse and generate CFITSIO extended file names."
Alt-Data-Frame-ButMore-0.0058,2021-06-30T16:06:33,SLOYD,latest,released,0.0058,,Alt-Data-Frame-ButMore,"Alternative implementation of Data::Frame with more features"
Pod-POM-Web-1.25,2021-06-30T16:02:22,DAMI,cpan,released,1.25,,Pod-POM-Web,"HTML Perldoc server"
Neo4j-Driver-0.25,2021-06-30T15:49:39,AJNN,cpan,released,0.25,,Neo4j-Driver,"Neo4j community graph database driver for Bolt and HTTP"
FFI-Platypus-1.50,2021-06-30T14:36:08,PLICEASE,backpan,released,1.50,,FFI-Platypus,"Write Perl bindings to non-Perl libraries with FFI. No XS required."
ExtUtils-MakeMaker-7.63_04,2021-06-30T14:30:46,BINGOS,cpan,developer,7.63_04,,ExtUtils-MakeMaker,"Create a module Makefile"
App-DBBrowser-2.269,2021-06-30T14:01:15,KUERBIS,backpan,released,2.269,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
Term-TablePrint-0.139,2021-06-30T13:59:48,KUERBIS,backpan,released,0.139,,Term-TablePrint,"Print a table to the terminal and browse it interactively."
Term-Form-0.535,2021-06-30T13:59:37,KUERBIS,backpan,released,0.535,,Term-Form,"Read lines from STDIN."
Term-Choose-Util-0.125,2021-06-30T13:59:25,KUERBIS,backpan,released,0.125,,Term-Choose-Util,"TUI-related functions for selecting directories, files, numbers and subsets of lists."
Bio-DB-NCBIHelper-1.7.7,2021-06-30T13:56:04,CJFIELDS,latest,released,1.7.7,,Bio-DB-NCBIHelper,"A collection of routines useful for queries to NCBI databases."
Imager-IMBarcode-JP-0.01,2021-06-30T13:34:20,TANIGUCHI,latest,released,0.01,1,Imager-IMBarcode-JP,"Japan's Intelligent Mail Barcode Generator"
Hustle-Table-v0.2.2,2021-06-30T12:51:09,DRCLAW,cpan,released,v0.2.2,,Hustle-Table,"Pattern dispatching to subroutines"
