release,date,author,status,maturity,version,first,distribution,abstract
Netstack-0.002,2021-09-28T08:57:39,CARELINE,latest,released,0.002,,Netstack,"Network automation development toolkit"
App-ansicolumn-1.14,2021-09-28T08:30:46,UTASHIRO,latest,released,1.14,,App-ansicolumn,"ANSI sequence aware column command"
Netstack-0.001,2021-09-28T08:26:25,CARELINE,cpan,released,0.001,1,Netstack,"turns baubles into trinkets"
Object-Util-Stringify-0.001,2021-09-28T01:50:09,PERLANCAR,latest,released,0.001,1,Object-Util-Stringify,"Utility routines related to object stringification"
Acme-CPANModules-WorkingWithTree-0.005,2021-09-28T00:05:10,PERLANCAR,latest,released,0.005,,Acme-CPANModules-WorkingWithTree,"Working with tree data structure in Perl"
Task-AlienDev-0.02,2021-09-27T23:25:46,PLICEASE,latest,released,0.02,,Task-AlienDev,"Task bundle for Alien development"
Geonode-Free-ProxyList-0.0.5,2021-09-27T23:12:49,JULIODCS,latest,released,v0.0.5,,Geonode-Free-ProxyList,"Get Free Geonode Proxies by using some filters"
Getopt-EX-v1.25.0,2021-09-27T23:05:44,UTASHIRO,latest,released,v1.25.0,,Getopt-EX,"Getopt Extender"
Net-OAuth2-0.67,2021-09-27T21:22:55,UHLE,latest,released,0.67,,Net-OAuth2,"OAuth2 authenticating client"
Game-FaceGenerator-1.01_02,2021-09-27T20:37:15,SCHROEDER,cpan,developer,1.01,,Game-FaceGenerator,"a web app to combine random images into faces"
TableDataBundle-CPAN-Release-Static-Older-20210927.0,2021-09-27T16:35:39,PERLANCAR,latest,released,20210927.0,1,TableDataBundle-CPAN-Release-Static-Older,"Collection of TableData:: modules that contain older CPAN releases data"
Pod-Weaver-Role-RequireFromBuild-0.001,2021-09-27T16:26:25,PERLANCAR,latest,released,0.001,1,Pod-Weaver-Role-RequireFromBuild,"Role to require() from Dist::Zilla build files"
Pod-Weaver-Plugin-TableData-0.002,2021-09-27T16:26:14,PERLANCAR,latest,released,0.002,,Pod-Weaver-Plugin-TableData,"Plugin to use when building TableData::* distribution"
Pod-Weaver-Plugin-TableData-0.001,2021-09-27T16:26:03,PERLANCAR,cpan,released,0.001,1,Pod-Weaver-Plugin-TableData,"Plugin to use when building TableData::* distribution"
Dist-Zilla-Plugin-TableData-0.001,2021-09-27T16:25:52,PERLANCAR,latest,released,0.001,1,Dist-Zilla-Plugin-TableData,"Plugin to use when building TableData::* distribution"
App-BrowserUtils-0.015,2021-09-27T16:25:41,PERLANCAR,latest,released,0.015,,App-BrowserUtils,"Utilities related to browsers, particularly modern GUI ones"
Net-Silverpeak-Orchestrator-0.002000,2021-09-27T15:50:04,ABRAXXA,latest,released,0.002000,,Net-Silverpeak-Orchestrator,"Silverpeak Orchestrator REST API client library"
Redis-OpenTracing-v0.2.0,2021-09-27T15:14:29,VANHOESEL,latest,released,v0.2.0,,Redis-OpenTracing,"Wrap Redis inside OpenTracing"
Term-Choose-1.740,2021-09-27T14:37:01,KUERBIS,latest,released,1.740,,Term-Choose,"Choose items from a list interactively."
Unisyn-Parse-20210927,2021-09-27T14:22:48,PRBRENAN,latest,released,20210927,,Unisyn-Parse,"Parse a Unisyn expression."
Nasm-X86-20210928,2021-09-27T14:22:37,PRBRENAN,latest,released,20210928,,Nasm-X86,"Generate X86 assembler code using Perl as a macro pre-processor."
App-FirefoxUtils-0.016,2021-09-27T14:13:25,PERLANCAR,latest,released,0.016,,App-FirefoxUtils,"Utilities related to Firefox"
App-ChromeUtils-0.009,2021-09-27T14:13:14,PERLANCAR,latest,released,0.009,,App-ChromeUtils,"Utilities related to Google Chrome browser"
App-BrowserUtils-0.014,2021-09-27T14:13:04,PERLANCAR,cpan,released,0.014,,App-BrowserUtils,"Utilities related to browsers, particularly modern GUI ones"
App-BrowserUtils-0.013,2021-09-27T14:11:37,PERLANCAR,cpan,released,0.013,,App-BrowserUtils,"Utilities related to browsers, particularly modern GUI ones"
Perl-Critic-Policy-Variables-ProhibitUnusedVarsStricter-0.111_01,2021-09-27T11:51:28,WYANT,cpan,developer,0.111_01,,Perl-Critic-Policy-Variables-ProhibitUnusedVarsStricter,"Critique unused variables in Perl source"
DBIx-Connector-0.57,2021-09-27T10:26:01,ARISTOTLE,latest,released,0.57,,DBIx-Connector,"Fast, safe DBI connection and transaction management"
App-Greple-subst-2.2903,2021-09-27T08:08:10,UTASHIRO,latest,released,2.2903,,App-Greple-subst,"Greple module for text search and substitution"
Getopt-EX-Hashed-0.9920,2021-09-27T07:03:35,UTASHIRO,latest,released,0.9920,,Getopt-EX-Hashed,"Hash store object automation"
JSON-Schema-Modern-0.520,2021-09-27T05:59:15,ETHER,latest,released,0.520,,JSON-Schema-Modern,"Validate data against a schema"
Test-Prereq-Meta-0.003,2021-09-27T04:30:42,WYANT,latest,released,0.003,,Test-Prereq-Meta,"Test distribution prerequisites against meta data."
HTML-Escape-1.11,2021-09-27T04:12:41,TOKUHIROM,latest,released,1.11,,HTML-Escape,"Extremely fast HTML escaping"
App-perlimports-0.000022,2021-09-27T01:40:45,OALDERS,latest,released,0.000022,,App-perlimports,"Make implicit imports explicit"
Mail-DMARC-1.20210927,2021-09-27T00:40:30,MBRADSHAW,latest,released,1.20210927,,Mail-DMARC,"Perl implementation of DMARC"
WordLists-EN-Adjective-0.002,2021-09-27T00:06:01,PERLANCAR,latest,released,0.002,,WordLists-EN-Adjective,"Collection of English adjectives"
Dist-Zilla-MintingProfile-AlienBuild-0.03,2021-09-26T23:47:48,PLICEASE,latest,released,0.03,,Dist-Zilla-MintingProfile-AlienBuild,"A minimal Dist::Zilla minting profile for Aliens"
Proc-ProcessTable-0.634,2021-09-26T23:04:23,JWB,latest,released,0.634,,Proc-ProcessTable,"Perl extension to access the unix process table"
Proc-ProcessTable-0.633,2021-09-26T23:01:20,JWB,cpan,released,0.633,,Proc-ProcessTable,"Perl extension to access the unix process table"
Proc-ProcessTable-0.632,2021-09-26T22:35:32,JWB,cpan,released,0.632,,Proc-ProcessTable,"Perl extension to access the unix process table"
Proc-ProcessTable-0.631,2021-09-26T21:58:24,JWB,cpan,released,0.631,,Proc-ProcessTable,"Perl extension to access the unix process table"
Game-FaceGenerator-1.01_01,2021-09-26T20:56:21,SCHROEDER,cpan,developer,1.01,,Game-FaceGenerator,"a web app to combine random images into faces"
Nasm-X86-20210926,2021-09-26T20:25:44,PRBRENAN,cpan,released,20210926,,Nasm-X86,"Generate X86 assembler code using Perl as a macro pre-processor."
Photonic-0.020,2021-09-26T20:11:25,WLMB,latest,released,0.020,,Photonic,"A perl package for calculations on photonics and metamaterials."
Dist-Zilla-MintingProfile-AlienBuild-0.02,2021-09-26T17:08:46,PLICEASE,cpan,released,0.02,,Dist-Zilla-MintingProfile-AlienBuild,"A minimal Dist::Zilla minting profile for Aliens"
TableDataRoles-Standard-0.010,2021-09-26T16:26:01,PERLANCAR,latest,released,0.010,,TableDataRoles-Standard,"Standard set of roles for TableData"
Perl-LanguageServer-2.3.0,2021-09-26T15:03:00,GRICHTER,latest,released,v2.3.0,,Perl-LanguageServer,"Language Server and Debug Protocol Adapter for Perl"
Test-Pod-LinkCheck-Lite-0.008,2021-09-26T13:45:36,WYANT,latest,released,0.008,,Test-Pod-LinkCheck-Lite,"Test POD links"
Thrift-0.15.0,2021-09-26T11:49:19,JKING,latest,released,v0.15.0,,Thrift,"Apache Thrift is a software framework for scalable cross-language services development."
Thrift-0.14.2,2021-09-26T11:49:08,JKING,cpan,released,v0.14.2,,Thrift,"Apache Thrift is a software framework for scalable cross-language services development."
Thrift-0.14.1,2021-09-26T11:48:56,JKING,cpan,released,v0.14.1,,Thrift,"Apache Thrift is a software framework for scalable cross-language services development."
App-DBBrowser-2.284,2021-09-26T10:54:21,KUERBIS,latest,released,2.284,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
Geonode-Free-ProxyList-0.0.4,2021-09-26T09:21:59,JULIODCS,cpan,released,v0.0.4,,Geonode-Free-ProxyList,"Get Free Geonode Proxies by using some filters"
App-DBBrowser-2.283,2021-09-26T05:39:41,KUERBIS,cpan,released,2.283,,App-DBBrowser,"Browse SQLite/MySQL/PostgreSQL databases and their tables interactively."
Test2-Plugin-Feature-0.001111,2021-09-26T04:16:02,YLAVOIE,latest,released,0.001111,,Test2-Plugin-Feature,"Plugin to allow testing Pherkin files."
Test2-Plugin-Feature-0.001110,2021-09-26T03:03:47,YLAVOIE,cpan,released,0.001110,,Test2-Plugin-Feature,"Plugin to allow testing Pherkin files."
ArrayData-0.2.4,2021-09-26T02:39:24,PERLANCAR,latest,released,0.2.4,,ArrayData,"Specification for ArrayData::*, modules that contains array data"
Thrift-0.14.0,2021-09-26T02:39:13,JKING,cpan,released,v0.14.0,,Thrift,"Apache Thrift is a software framework for scalable cross-language services development."
ArrayData-Lingua-Word-ID-KBBI-0.003,2021-09-26T02:35:03,PERLANCAR,latest,released,0.003,1,ArrayData-Lingua-Word-ID-KBBI,"Indonesian words from Kamus Besar Bahasa Indonesia"
