release,date,author,status,maturity,version,first,distribution,abstract
Type-Tiny-1.012004,2021-07-31T20:34:49,TOBYINK,latest,released,1.012004,,Type-Tiny,"tiny, yet Moo(se)-compatible type constraint"
Rex-Hook-File-Diff-v0.3.0.2-TRIAL,2021-07-31T19:30:16,FERKI,cpan,developer,v0.3.0.2,,Rex-Hook-File-Diff,"show diff of changes for files managed by Rex"
Crypt-OpenSSL-X509-1.909,2021-07-31T18:24:22,JONASBN,cpan,released,1.909,,Crypt-OpenSSL-X509,"Perl extension to OpenSSL's X509 API."
Dist-Zilla-Plugin-Prereqs-From-cpmfile-v0.0.2,2021-07-31T17:15:58,SKAJI,latest,released,v0.0.2,,Dist-Zilla-Plugin-Prereqs-From-cpmfile,"Register prereqs from cpmfile"
Module-cpmfile-0.002,2021-07-31T17:04:11,SKAJI,latest,released,0.002,,Module-cpmfile,"Parse cpmfile"
Net-TinyERP-0.09,2021-07-31T17:01:15,GARU,latest,released,0.09,,Net-TinyERP,"interface com a API REST do Tiny ERP"
Crypt-OpenSSL-X509-1.1000,2021-07-31T16:44:35,JONASBN,backpan,released,1.1000,,Crypt-OpenSSL-X509,"Perl extension to OpenSSL's X509 API."
Crypt-OpenSSL-X509-1.100,2021-07-31T16:27:52,JONASBN,backpan,released,1.100,,Crypt-OpenSSL-X509,"Perl extension to OpenSSL's X509 API."
File-Rename-1.29_01,2021-07-31T14:48:00,RMBARKER,cpan,developer,1.29_01,,File-Rename,"Perl extension for renaming multiple files"
Astro-Coord-ECI-VSOP87D-0.005_01,2021-07-31T13:20:46,WYANT,backpan,developer,0.005_01,,Astro-Coord-ECI-VSOP87D,"Implement the VSOP87D position model."
Getopt-EX-Hashed-0.9905,2021-07-31T12:11:07,UTASHIRO,cpan,released,0.9905,,Getopt-EX-Hashed,"Hash store object automation"
Test-Fixture-Teng-0.01,2021-07-31T12:03:14,MASIUCHI,latest,released,0.01,1,Test-Fixture-Teng,"load fixture data to storage for Teng"
Web-Reactor-2.10,2021-07-31T11:59:58,CADE,latest,released,2.10,,Web-Reactor,
Linux-Inotify2-2.3,2021-07-31T11:46:56,MLEHMANN,latest,released,2.3,,Linux-Inotify2,"scalable directory/file change notification"
RxPerl-v6.7.1,2021-07-31T09:49:58,KARJALA,backpan,released,v6.7.1,,RxPerl,"an implementation of Reactive Extensions / rxjs for Perl"
WWW-Form-1.21,2021-07-31T07:45:58,SHLOMIF,cpan,released,1.21,,WWW-Form,"Object-oriented module for HTML form input validation and display"
