release,date,author,status,maturity,version,first,distribution,abstract
Acme-ConspiracyTheory-Random-0.002,2021-01-31T23:34:07,TOBYINK,backpan,released,0.002,,Acme-ConspiracyTheory-Random,"random theories"
Slovo-2021.02.01,2021-01-31T22:36:22,BEROV,backpan,released,v2021.02.01,,Slovo,"Искони бѣ Слово"
Text-Table-Any-0.098,2021-01-31T22:13:17,PERLANCAR,backpan,released,0.098,,Text-Table-Any,"Generate text table using one of several backends"
Finance-Nadex-0.11,2021-01-31T21:36:14,MHANDISI,latest,released,0.11,,Finance-Nadex,"Interact with the North American Derivatives Exchange"
Dancer2-Plugin-WebService-4.4.0,2021-01-31T21:25:51,MPOURASG,backpan,released,4.4.0,,Dancer2-Plugin-WebService,"RESTful Web Services with login, persistent data, multiple in/out formats, IP security, role based access"
Acme-ConspiracyTheory-Random-0.001,2021-01-31T21:24:16,TOBYINK,backpan,released,0.001,1,Acme-ConspiracyTheory-Random,"random theories"
Net-Async-Redis-3.010,2021-01-31T20:58:14,TEAM,cpan,released,3.010,,Net-Async-Redis,"Redis support for IO::Async"
Shell-Autobox-v2.0.1,2021-01-31T20:47:51,CHOCOLATE,latest,released,v2.0.1,,Shell-Autobox,"pipe Perl values through shell commands"
App-bookmarks-0.26,2021-01-31T20:38:43,KALDOR,backpan,released,0.26,,App-bookmarks,"Export browser bookmarks as plain text."
Shell-Autobox-v2.0.0,2021-01-31T20:30:52,CHOCOLATE,backpan,released,v2.0.0,,Shell-Autobox,"pipe Perl strings through shell commands"
Syntax-Keyword-Finally-0.01,2021-01-31T19:31:17,PEVANS,backpan,released,0.01,1,Syntax-Keyword-Finally,"add FINALLY phaser block syntax to perl"
Binance-API-1.06,2021-01-31T18:56:34,TASKULA,cpan,released,1.06,,Binance-API,"Perl module for interacting with the Binance API."
Perl-Tidy-Sweetened-1.18,2021-01-31T17:32:36,MGRIMES,latest,released,1.18,,Perl-Tidy-Sweetened,"Tweaks to Perl::Tidy to support some syntactic sugar"
