release,date,author,status,maturity,version,first,distribution,abstract
JSON-Create-0.34,2021-04-30T23:28:36,BKB,backpan,released,0.34,,JSON-Create,"Create JSON"
CXC-Number-0.03,2021-04-30T23:13:37,DJERIUS,backpan,released,0.03,1,CXC-Number,"A namespace for modules which deal with numbers."
DateTime-Locale-1.32,2021-04-30T23:06:44,DROLSKY,latest,released,1.32,,DateTime-Locale,"Localization support for DateTime.pm"
Finance-Alpaca-0.9906,2021-04-30T22:56:50,SANKO,latest,released,0.9906,,Finance-Alpaca,"Perl Wrapper for Alpaca's Commission-free Stock Trading API"
List-Keywords-0.04,2021-04-30T22:49:18,PEVANS,backpan,released,0.04,,List-Keywords,"a selection of list utility keywords"
Finance-Alpaca-0.9905,2021-04-30T22:47:51,SANKO,backpan,released,0.9905,,Finance-Alpaca,"Perl Wrapper for Alpaca's Commission-free Stock Trading API"
Beekeeper-0.02,2021-04-30T21:52:16,JMICO,backpan,released,0.02,,Beekeeper,"Framework for building applications with a microservices architecture"
App-perlimports-0.000004,2021-04-30T21:46:38,OALDERS,cpan,released,0.000004,,App-perlimports,"Make implicit imports explicit"
Sub-Genius-0.07-TRIAL,2021-04-30T21:31:16,OODLER,cpan,developer,0.07,,Sub-Genius,"manage concurrent Perl semantics in the uniprocess execution model of perl."
Text-Wrap-Smart-XS-0.06_01,2021-04-30T19:54:05,SCHUBIGER,backpan,developer,0.06_01,,Text-Wrap-Smart-XS,"Wrap text fast into chunks of similar length"
Test2-Harness-1.000053,2021-04-30T18:27:52,EXODIST,backpan,released,1.000053,,Test2-Harness,"A new and improved test harness with better Test2 integration."
Acme-MetaSyntactic-Themes-1.055,2021-04-30T17:46:34,BOOK,latest,released,1.055,,Acme-MetaSyntactic-Themes,"The original Acme::MetaSyntactic themes"
Test2-Harness-1.000052,2021-04-30T17:42:36,EXODIST,backpan,released,1.000052,,Test2-Harness,"A new and improved test harness with better Test2 integration."
experimental-0.023,2021-04-30T17:36:01,LEONT,cpan,released,0.023,,experimental,"Experimental features made easy"
Crypt-Argon2-0.011,2021-04-30T17:34:56,LEONT,latest,released,0.011,,Crypt-Argon2,"Perl interface to the Argon2 key derivation functions"
Finance-Alpaca-0.9904,2021-04-30T17:33:29,SANKO,cpan,released,0.9904,,Finance-Alpaca,"Perl Wrapper for Alpaca's Commission-free Stock Trading API"
PDL-2.043,2021-04-30T16:07:22,ETJ,backpan,released,2.043,,PDL,"Perl Data Language"
Data-Alias-1.23,2021-04-30T15:41:51,XMATH,backpan,released,1.21,,Data-Alias,"Comprehensive set of aliasing operations"
Finance-Alpaca-0.9903,2021-04-30T15:34:17,SANKO,cpan,released,0.9903,,Finance-Alpaca,"Perl Wrapper for Alpaca's Commission-free Stock Trading API"
Kafka-Librd-0.20,2021-04-30T15:32:50,PLICEASE,latest,released,0.20,,Kafka-Librd,"bindings for librdkafka"
Term-CLI-0.052001,2021-04-30T14:53:37,SBAKKER,cpan,released,0.052001,,Term-CLI,"CLI interpreter based on Term::ReadLine"
Myriad-0.005,2021-04-30T12:46:25,DERIV,cpan,released,0.005,,Myriad,"async microservice framework"
Future-AsyncAwait-0.50,2021-04-30T11:44:13,PEVANS,backpan,released,0.50,,Future-AsyncAwait,"deferred subroutine syntax for futures"
Comment-Spell-0.001004,2021-04-30T11:12:23,NHORNE,latest,released,0.001004,,Comment-Spell,"Spell Checking for your comments"
Number-ZipCode-JP-0.20210430,2021-04-30T11:05:35,TANIGUCHI,cpan,released,0.20210430,,Number-ZipCode-JP,"Validate Japanese zip-codes"
PICA-Data-1.18,2021-04-30T10:55:23,VOJ,cpan,released,1.18,,PICA-Data,"PICA record processing"
Data-Enum-v0.2.1,2021-04-30T10:27:26,RRWO,backpan,released,v0.2.1,,Data-Enum,"fast, immutable enumeration classes"
Mojolicious-Plugin-PlainRoutes-0.07,2021-04-30T10:25:59,CTHOR,latest,released,0.07,,Mojolicious-Plugin-PlainRoutes,"Plaintext route definitions for Mojolicious"
CallBackery-0.36.7,2021-04-30T07:01:26,OETIKER,cpan,released,v0.36.7,,CallBackery,"CallBackery is a Mojolicious+Qoodoo Framework for building Web Applications"
PDL-2.042,2021-04-30T06:24:10,ETJ,backpan,released,2.042,,PDL,"Perl Data Language"
cpan2rpm-2.028_04,2021-04-30T05:54:55,BBB,cpan,developer,2.028_04,,cpan2rpm,"A Perl module packager"
cpan2rpm-2.028_03,2021-04-30T05:49:38,BBB,backpan,developer,2.028_03,,cpan2rpm,"A Perl module packager"
WebService-HashiCorp-Vault-0.01,2021-04-30T04:31:20,DJZORT,latest,released,0.01,,WebService-HashiCorp-Vault,"Perl API for HashiCorp's Vault"
SPVM-0.0949,2021-04-30T04:00:24,KIMOTO,cpan,released,0.0949,,SPVM,"Static Perl Virtual Machine. Fast Calculation, Fast Array Operation, and Easy C/C++ Binding."
HTML-Valid-0.07_01,2021-04-30T03:42:30,BKB,backpan,developer,0.07_01,,HTML-Valid,"tidy/validate HTML"
Alt-FFI-Raw-Platypus-0.04,2021-04-30T03:01:50,PLICEASE,latest,released,0.04,,Alt-FFI-Raw-Platypus,"Alternate FFI::Raw implementation powered by FFI::Platypus"
JSON-Create-0.33_01,2021-04-30T01:44:41,BKB,backpan,developer,0.33_01,,JSON-Create,"Create JSON"
Perinci-Examples-Bin-Classic-0.081,2021-04-30T00:05:02,PERLANCAR,latest,released,0.081,,Perinci-Examples-Bin-Classic,"Perinci example CLI scripts (using Perinci::CmdLine::Classic)"
Beekeeper-0.02_03,2021-04-29T23:58:30,JMICO,backpan,developer,0.02_03,,Beekeeper,"Framework for building applications with a microservices architecture"
FunctionalPerl-0.72.56-TRIAL,2021-04-29T23:48:13,PFLANZE,cpan,developer,v0.72.56,,FunctionalPerl,"FunctionalPerl - functional programming in Perl"
PDL-2.041,2021-04-29T23:40:27,ETJ,backpan,released,2.041,,PDL,"Perl Data Language"
Box-Calc-1.0205,2021-04-29T23:00:12,COLINK,cpan,released,1.0205,,Box-Calc,"Packing Algorithm"
Box-Calc-1.0204,2021-04-29T22:10:46,COLINK,backpan,released,1.0204,,Box-Calc,"Packing Algorithm"
