1,"AF","Africa","Afrika"
2,"AS","Asia","Asia"
3,"EU","Europe","Eropa"
4,"NA","North America","Amerika Utara"
5,"SA","South America","Amerika Selatan"
6,"OC","Oceania","Oseania"
7,"AT","Antarctica","Antartika"
