Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
29-AUG-2014|AALI|EQUITY|1574745000|25500|23732000|9859738|23885300|49700|23469006|36068050|1658313|492600|3885004|123099711|3608406|24235892|28890030|23126639|1048046|44809506|10679754|82200|59993328|196473801
29-AUG-2014|ABBA|EQUITY|2755125000|72|225547908|1612485465|2208458|0|421868085|0|34550243|0|0|2296660159|0|0|0|282887200|201000|0|26200|0|0|283114400
29-AUG-2014|ABDA|EQUITY|620806680|5700|43822|114166353|0|98|2302394|27900|257608|150|0|116798325|0|189943172|0|183046569|400|0|21900|0|127040204|500052245
29-AUG-2014|ABMM|EQUITY|2753165000|2750|200000|13061500|1511000|0|40528900|31095800|340500|4983500|0|91721200|0|5487100|0|77478500|981500|112223900|19800|0|317784000|513974800
29-AUG-2014|ACES|EQUITY|17150000000|935|187435400|627140346|77124000|0|192648346|428740900|1362071|16986000|100000|1531537063|31157700|543959562|203947900|726283506|92596900|2433229370|46785699|49346700|1206155600|5333462937
29-AUG-2014|ACST|EQUITY|500000000|3425|936600|19992400|8398800|0|31916400|70732600|200000|1538300|0|133715100|0|658000|0|8098000|1495300|239600|1837800|0|8956200|21284900
29-AUG-2014|ADES|EQUITY|589896800|1665|80500|707900|6577500|778|34465249|857200|712968|25000|0|43427095|0|405000|0|733464|542862813|0|254000|0|1191428|545446705
29-AUG-2014|ADFO|EQUITY|745543638|0|10000|116529120|0|5000|58593500|0|1084000|0|0|176221620|0|147319420|0|0|144146570|0|0|0|243009528|534475518
29-AUG-2014|ADHI|EQUITY|1801320000|3070|48871900|11920432|75611300|0|236433011|178714584|5232520|8829000|511900|566124647|11674500|16138200|29598837|69441533|1305300|77083359|22881887|2352000|86029737|316505353
29-AUG-2014|ADMF|EQUITY|1000000000|11225|4366800|59900|0|950000000|9834300|804900|452500|0|0|965518400|0|20396400|0|11611300|247800|255700|214200|0|1706200|34431600
29-AUG-2014|ADMG|EQUITY|3889179559|206|9030000|994200000|4013000|0|394303687|3440583|300013|0|0|1405287283|0|10149000|3591500|24822400|4569300|3537500|4857400|901000|56773400|109201500
29-AUG-2014|ADRO|EQUITY|31985962000|1315|954126800|16062052496|827643330|0|5857834792|708714670|25217426|12499500|4086500|24452175514|123942260|1098455171|791135623|976039241|143155385|1726739612|715235721|20169800|1938213673|7533086486
