Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
31-MAY-2019|AALI|EQUITY|1924688333|10550|52091064|2242645|58023655|49700|51997620|61262683|473424|1684686|4883527|232709004|1601254|4645257|16059871|22964606|1472673|64327308|30691262|386922|15931336|158080489
31-MAY-2019|ABBA|EQUITY|2755125000|133|0|1527267165|0|0|757727475|0|177043|0|300000|2285471683|0|0|0|10000000|301900|0|1114700|0|0|11416600
31-MAY-2019|ABDA|EQUITY|620806680|6300|21885|47362482|0|98|47938672|0|7500|873384|0|96204021|0|426147055|0|97416200|500|0|0|0|62|523563817
31-MAY-2019|ABMM|EQUITY|2753165000|1770|11370000|6961500|1600|0|39590500|6276200|943000|0|0|65142800|0|57405400|0|34678500|427900|295799000|4500|0|152237900|540553200
31-MAY-2019|ACES|EQUITY|17150000000|1735|227951127|67765500|19565088|0|172710211|121395013|163564|119800|69500|609739803|41838100|400126265|993534500|577473668|318100|3044231090|312556044|6011593|879170837|6255260197
31-MAY-2019|ACST|EQUITY|700000000|1280|252560|482894440|3240900|0|29268116|33352540|265804|0|0|549274360|0|10765200|8872300|23409480|8866120|23566080|6801500|0|68444960|150725640
31-MAY-2019|ADES|EQUITY|589896800|1030|108000|117500|208500|350|31265777|1042100|411|25000|0|32767638|0|540501713|0|14749121|605900|0|250000|0|0|556106734
31-MAY-2019|ADFO|EQUITY|745543638|0|10000|115720120|0|0|58212000|0|1903000|0|0|175845120|0|147319420|0|46500|144476570|0|0|0|243009528|534852018
31-MAY-2019|ADHI|EQUITY|3560849376|1450|188242175|6461747|88094764|5000|501498520|330386254|32906518|19363071|141100|1167099149|5708532|47593039|38768732|31113156|2559693|253910908|57843653|0|140195890|577693603
31-MAY-2019|ADMF|EQUITY|1000000000|9950|4366800|463900|0|920700000|23908600|19755600|41500|0|0|969236400|32700|0|219500|12842900|441200|12864000|303100|26300|3983900|30713600
31-MAY-2019|ADMG|EQUITY|3889179559|242|1030000|995450000|2993000|0|390666387|1850083|452613|0|1000|1392443083|0|2252300|1578300|41106318|2582600|54938600|15160782|0|4432800|122051700
31-MAY-2019|ADRO|EQUITY|31985962000|1295|1287669800|15636450771|972415500|0|6432332642|960493837|29330830|32986700|2170300|25353850380|99110027|904462543|666443194|986043414|18625142|1797135263|523304598|47605000|1589382439|6632111620
31-MAY-2019|AGII|EQUITY|3066660000|530|0|867125857|23409100|0|128589700|2064600|1500000|0|100|1022689357|0|45366800|0|136750860|112300|69870800|168925000|44667700|65413000|531106460
